Id,recommendations
554805,"[436391, 9313, 49538, 127585, 660717, 1892, 517148, 658113, 752, 614560, 338952, 10802, 1716, 42113, 400387, 637920, 613022, 676148, 681235, 733317]"
575479,"[755977, 502422, 623634, 635918, 572123, 615466, 630878, 566927, 652009, 426613, 448447, 610290, 5156, 597231, 487476, 451764, 552269, 610461, 760484, 515919]"
587792,"[682426, 582596, 664031, 644090, 762897, 672227, 553641, 718334, 613361, 647813, 679898, 679989, 521844, 613183, 612315, 513399, 242042, 283350, 449563, 501979]"
559401,"[515087, 625658, 548755, 641960, 9909, 406, 771002, 623666, 619594, 609418, 535845, 626975, 477657, 658905, 596876, 438145, 843, 661930, 653665, 659959]"
587301,"[472734, 595975, 722251, 686919, 709681, 653594, 408509, 261, 350, 668156, 520390, 582927, 527385, 595900, 540901, 489243, 621954, 523781, 614764, 746957]"
533715,"[509733, 11619, 587562, 7518, 326215, 663459, 486072, 9023, 693285, 533, 749618, 506596, 509730, 594328, 620725, 726739, 754067, 85872, 663451, 526019]"
326215,"[587562, 533, 11619, 486072, 509733, 533715, 400157, 509730, 749618, 481084, 73723, 422803, 663459, 665135, 7518, 520720, 582732, 85872, 664474, 562600]"
13496,"[702936, 688809, 457335, 8681, 1705, 667757, 618416, 644444, 767479, 719033, 634544, 373858, 613368, 712331, 653658, 654997, 680438, 346666, 1620, 20982]"
519141,"[11257, 4478, 656276, 588656, 446696, 524348, 588009, 568467, 164, 86835, 608317, 627725, 622977, 571689, 660722, 675592, 659994, 693158, 773650, 719803]"
627463,"[676691, 575446, 509932, 500890, 573632, 676839, 770156, 560391, 488707, 569916, 781776, 641175, 579741, 696111, 941407, 664027, 739291, 679685, 707214, 740843]"
504562,"[642889, 668435, 644712, 36557, 672143, 8293, 5155, 50014, 278, 601643, 68, 64682, 13, 180, 300671, 519056, 659731, 9509, 694, 769]"
639798,"[756252, 595940, 627290, 653659, 515916, 467936, 316029, 6537, 630191, 722209, 523371, 653601, 742777, 653584, 751494, 722968, 613504, 524780, 436459, 364733]"
525657,"[686245, 641790, 714375, 508138, 575769, 511987, 534490, 700179, 575446, 300665, 288, 768939, 594174, 9725, 691812, 733156, 761163, 734288, 676839, 587496]"
520765,"[630220, 555457, 616180, 554285, 659699, 765458, 879066, 716145, 750246, 790682, 527385, 616018, 568637, 595900, 493014, 396121, 49014, 106219, 517940, 458302]"
561557,"[444090, 14821, 12137, 10191, 560050, 523366, 657811, 573699, 535845, 583132, 750377, 612506, 406, 74523, 706663, 38810, 11361, 56815, 653, 641960]"
653606,"[467956, 59968, 597231, 762897, 679989, 679898, 647813, 672227, 718334, 613361, 613183, 521844, 586451, 513399, 511425, 493591, 242042, 502422, 283350, 500890]"
594188,"[280217, 445030, 447404, 506574, 718444, 150689, 16198, 571655, 531219, 734309, 16859, 315064, 701062, 807604, 289, 38303, 872, 364733, 382597, 54182]"
638134,"[10527, 522887, 726664, 50321, 515789, 570480, 718867, 678585, 2300, 475351, 417859, 77459, 657561, 714511, 581218, 708352, 543583, 9502, 23398]"
550738,"[454640, 18861, 38055, 347201, 458253, 702525, 400160, 529203, 668742, 554241, 446894, 505262, 502259, 36728, 9641, 11621, 615677, 621870, 457335, 631939]"
429107,"[613868, 597290, 504321, 681022, 691126, 674865, 526019, 554914, 638983, 712528, 661881, 650625, 542421, 620725, 774259, 664280, 716978, 582878, 85872, 206356]"
653567,"[682110, 750072, 719643, 737157, 645556, 679063, 673175, 712395, 697413, 752205, 644174, 655146, 758046, 582944, 652912, 702738, 653734, 718863, 720886]"
575774,"[554585, 10824, 517116, 701175, 770428, 676844, 759902, 741998, 720026, 477187, 377264, 632931, 744750, 608994, 756075, 465086, 547116, 11690, 391486, 11187]"
609242,"[746180, 706783, 1978, 499573, 575428, 976094, 522627, 582014, 661007, 616880, 528085, 579245, 440374, 77, 82682, 379149, 718400, 743382, 735129, 623856]"
628241,"[583841, 49026, 746, 242, 652, 627342, 607313, 474350, 477428, 157336, 590077, 556574, 594139, 438674, 857, 577332, 949, 97630, 682661, 667248]"
