Id,recommendations
103538,"[106486, 114454, 101255, 106451]"
101090,"[101750, 104399, 101255, 103966]"
104547,"[105664, 110193, 111156, 111052, 114053]"
102220,"[113250, 234278, 235651, 235018]"
104878,"[103840, 111771, 108305, 111726, 107671]"
113072,"[103840, 111771, 108305, 111726, 107671]"
127575,"[93822, 91024, 95433, 95317, 96655]"
158929,"[96557, 241134, 122036, 98372, 112880]"
103966,"[103538, 106486, 114454, 101255, 106451]"
102477,"[113473, 104022, 98830, 93781]"
139635,"[101020, 99609, 234423, 208846]"
130416,"[103840, 111771, 108305, 111726, 107671]"
99532,"[103840, 111771, 108305, 111726, 107671]"
215647,"[118177, 111086, 97428, 105305]"
236035,"[103174, 100114, 103407, 100746, 112204]"
241267,"[103840, 111771, 108305, 111726, 107671]"
105651,"[96005, 92137, 104555, 102970, 99119]"
101885,"[113585, 103051, 104256, 111799, 104626]"
99698,"[98028, 99150, 130860, 118856]"
98788,"[103840, 111771, 108305, 111726, 107671]"
101265,"[108488, 108491, 110104, 115457, 104521]"
225258,"[99698, 98028, 99150, 130860, 118856]"
235936,"[103840, 111771, 108305, 111726, 107671]"
236350,"[106463, 198235, 95554, 120043, 102281]"
231516,"[99698, 98028, 99150, 130860, 118856]"
201538,"[103840, 111771, 108305, 111726, 107671]"
102169,"[99698, 98028, 99150, 130860, 118856]"
99006,"[99698, 98028, 99150, 130860, 118856]"
91239,"[103913, 102278, 101881, 102904]"
95479,"[98123, 106251, 97645, 85948]"
112888,"[99610, 96102, 114395, 100897, 104877]"
104877,"[99610, 96102, 114395, 100897]"
85948,"[97645, 86248, 102655, 106126]"
82596,"[107451, 104279, 29422, 113457, 101352]"
94305,"[86423, 106590, 103849, 93784, 90259]"
97890,"[96567, 107013, 104819, 87017]"
110316,"[100757, 102434, 99799, 105521, 90812]"
109330,"[93741, 113378, 96139, 109930, 103254]"
93741,"[103254, 109330, 91764, 98823, 98240]"
110562,"[102903, 100883, 96687, 112945, 86430]"
102655,"[106925, 106126, 126506, 97645]"
108255,"[97546, 101918, 103787, 101352]"
97546,"[108255, 101918, 103787, 101352]"
105214,"[112945, 99489, 86423, 102903, 113268]"
94038,"[99353, 100833, 100161, 110381, 95676]"
93287,"[85922, 113367, 93812, 98308, 98161]"
97617,"[95479, 98123, 106251, 97645, 85948]"
110381,"[99353, 100833, 100161, 95676]"
86430,"[79622, 110115, 86588, 110562, 102903]"
100049,"[107124, 96316, 103511, 98986]"
96648,"[99969, 97890, 96567, 107013, 87017]"
